restaurant,type of cuisine,date,price,item 1,item 2
ba chi,vietnamese,6/13/21,$39.00,coconut curry tofu,bao nuts
hangout,asian,11/2/21,$38.09,mama thai basil chicken,shimp dumpling
chipotle,mexican,11/4/21,$29.84,salad bowl,chips and guac
yummy yummy,chinese,11/7/21,$39.37,sesame chicken,crab rangoon
felipe's,mexican,11/10/21,$29.39,quesadilla,chips and guac
chipotle,mexican,11/11/21,$31.14,salad bowl,chips and guac
jazmine cafe,vietnamese,11/13/21,$38.72,sweat heat noodle,vegtable spring rolls
buttermilk drop bakery,cafe,11/14/21,$24.31,chocolate chip pancake,grits
central city bbq,barbeque,11/19/21,$46.50,three meat combo plate,sweet corn spoonbread
tacos and beer,mexican,11/28/21,$28.68,quesadilla,chips and salsa
chipotle,mexcian,11/30/21,$24.88,salad bowl,
adam street grocery,deli,12/7/21,$18.74,hot sausage po-boy,
jazmine cafe,vietnamese,12/7/21,$38.72,sweet heat noodle,vegtabe spring rolls
vincent's ,italian,12/12/21,$41.15,eggplant parmagiana,caesar salad
ruby slipper cafe,cafe,12/13/21,$22.68,three little pigs omlet,
maple street cafe,italian,12/16/21,$39.81,chicken lemon,caesar salad
camelia grill,cafe,12/17/21,$20.46,sausage omlet,
cafe roma,italian,1/18/22,$27.10,chicken alfredo,
central city bbq,barbeque,1/30/22,$37.63,three meat combo plate,
bangkok thai,thai,2/6/22,$34.69,pad thai,crispy tofu
maple street cafe,italian,2/8/22,$27.17,chicken lemon,
fresco cafe,italian,2/12/22,$22.71,margherita pizza,
fresco cafe,italian,2/12/22,$32.33,margherita pizza,mozzerella sticks
chipotle,mexican,2/13/22,$28.40,salad bowl,chips and guac
ba chi,vietnamese,2/24/22,$37.79,lemongrass chicken vermicilli,baco sweet chilli shrimp
maple street cafe,italian,3/2/22,$53.01,chicken lemon,angel hair ziad
nirvana,indian,3/5/22,$40.12,mattar paneer,vegtable samosa
poke loa,poke,3/6/22,$34.82,bowl,thai coconut curry soup
Poseidon,japanese,3/19/22,$44.18,sushi,pad thai
