date,restaurant,meal,image,best time,type of cuisine
12/4/21,flamingo a go-go,eggs benedict,flaming1.jpg,breakfeast,american
12/6/21,rum house,tacos,rumhouse.jpg,dinner,mexican
12/10/21,meril's,fish,meril.jpg,dinner,seafood
12/11/21,flamingo a go-go,eggs benedict,flamingo2.jpg,breakfeast,american
12/14/21,vals,queso fundido,vals.jpg,dinner,mexican
1/29/22,flamingo a go-go,omlet,flamingo3.jpg,breakfeast,american
2/2/22,ba chi,vermicilli bowl,bachi.jpg,dinner,vietnamese
2/3/22,origami,sushi,origami.jpg,dinner,sushi
2/5/22,flamingo a go-go,eggs benedict,flamingo4.jpg,breakfeast,american
2/12/22,flamingo a go-go,french onion soup,flamingo5.jpg,breakfeast,american
2/19/22,coppervine,eggs benedict,coppervine.jpg,lunch,american
3/5/22,sofia,ricotta dip,sofia1.jpg,lunch,italian
3/12/22,sofia,ricotta dip,sofia2.jpg,lunch,italian
3/18/22,barracuda,tacos,barracuda.jpg,dinner,mexican
3/19/22,sofia,eggs ,sofia3.jpg,breakfeast,italian
3/19/22,empanola,empanadas,empanola.png,lunch,spanish
